Category,Description,Inputs,Outputs,Status
UniqueSet Market,Aldur's Advance -> Um Rune,"Antidote Potion,Aldur's Advance",Um Rune,EXISTING
UniqueSet Market,Um Rune -> Immortal King's Will,"Stamina Potion,Um Rune,Avenger Guard,Town Portal Scroll",Immortal King's Will,EXISTING
UniqueSet Market,Immortal King's Will -> Pul Rune,"Antidote Potion,Immortal King's Will",Pul Rune,EXISTING
UniqueSet Market,Ist Rune -> Immortal King's Soul Cage,"Stamina Potion,Ist Rune,Sacred Armor,Town Portal Scroll",Immortal King's Soul Cage,EXISTING
UniqueSet Market,Immortal King's Soul Cage -> Mal Rune,"Antidote Potion,Immortal King's Soul Cage",Mal Rune,EXISTING
UniqueSet Market,Um Rune -> Tal Rasha's Fire-Spun Cloth,"Stamina Potion,Um Rune,Mesh Belt,Town Portal Scroll",Tal Rasha's Fire-Spun Cloth,EXISTING
UniqueSet Market,Tal Rasha's Fire-Spun Cloth -> Pul Rune,"Antidote Potion,Tal Rasha's Fire-Spun Cloth",Pul Rune,EXISTING
UniqueSet Market,Mal Rune -> Tal Rasha's Adjudication,"Stamina Potion,Mal Rune,amulet,Town Portal Scroll",Tal Rasha's Adjudication,EXISTING
UniqueSet Market,Tal Rasha's Adjudication -> Um Rune,"Antidote Potion,Tal Rasha's Adjudication",Um Rune,EXISTING
UniqueSet Market,Mal Rune -> Tal Rasha's Lidless Eye,"Stamina Potion,Mal Rune,Swirling Crystl,Town Portal Scroll",Tal Rasha's Lidless Eye,EXISTING
UniqueSet Market,Tal Rasha's Lidless Eye -> Um Rune,"Antidote Potion,Tal Rasha's Lidless Eye",Um Rune,EXISTING
UniqueSet Market,Ist Rune -> Tal Rasha's Howling Wind,"Stamina Potion,Ist Rune,Lacquered Plate,Town Portal Scroll",Tal Rasha's Howling Wind,EXISTING
UniqueSet Market,Tal Rasha's Howling Wind -> Mal Rune,"Antidote Potion,Tal Rasha's Howling Wind",Mal Rune,EXISTING
UniqueSet Market,Um Rune -> Tal Rasha's Horadric Crest,"Stamina Potion,Um Rune,Death Mask,Town Portal Scroll",Tal Rasha's Horadric Crest,EXISTING
UniqueSet Market,Tal Rasha's Horadric Crest -> Pul Rune,"Antidote Potion,Tal Rasha's Horadric Crest",Pul Rune,EXISTING
UniqueSet Market,Mal Rune -> Griswold's Valor,"Stamina Potion,Mal Rune,Corona,Town Portal Scroll",Griswold's Valor,EXISTING
UniqueSet Market,Griswold's Valor -> Um Rune,"Antidote Potion,Griswold's Valor",Um Rune,EXISTING
UniqueSet Market,Ist Rune -> Griswolds's Redemption,"Stamina Potion,Ist Rune,Caduceus,Mal Rune",Griswolds's Redemption,EXISTING
UniqueSet Market,Griswolds's Redemption -> Ist Rune,"Antidote Potion,Griswolds's Redemption",Ist Rune,EXISTING
UniqueSet Market,Mal Rune -> Griswold's Honor,"Stamina Potion,Mal Rune,Vortex Shield,Town Portal Scroll",Griswold's Honor,EXISTING
UniqueSet Market,Griswold's Honor -> Um Rune,"Antidote Potion,Griswold's Honor",Um Rune,EXISTING
UniqueSet Market,Um Rune -> Trang-Oul's Guise,"Stamina Potion,Um Rune,Bone Visage,Town Portal Scroll",Trang-Oul's Guise,EXISTING
UniqueSet Market,Trang-Oul's Guise -> Pul Rune,"Antidote Potion,Trang-Oul's Guise",Pul Rune,EXISTING
UniqueSet Market,Um Rune -> Trang-Oul's Wing,"Stamina Potion,Um Rune,Cantor Trophy,Town Portal Scroll",Trang-Oul's Wing,EXISTING
UniqueSet Market,Trang-Oul's Wing -> Pul Rune,"Antidote Potion,Trang-Oul's Wing",Pul Rune,EXISTING
UniqueSet Market,Um Rune -> Trang-Oul's Claws,"Stamina Potion,Um Rune,Heavy Bracers,Town Portal Scroll",Trang-Oul's Claws,EXISTING
UniqueSet Market,Trang-Oul's Claws -> Pul Rune,"Antidote Potion,Trang-Oul's Claws",Pul Rune,EXISTING
UniqueSet Market,Um Rune -> Trang-Oul's Girth,"Stamina Potion,Um Rune,Troll Belt,Town Portal Scroll",Trang-Oul's Girth,EXISTING
UniqueSet Market,Trang-Oul's Girth -> Pul Rune,"Antidote Potion,Trang-Oul's Girth",Pul Rune,EXISTING
UniqueSet Market,Mal Rune -> M'avina's True Sight,"Stamina Potion,Mal Rune,Diadem,Town Portal Scroll",M'avina's True Sight,EXISTING
UniqueSet Market,M'avina's True Sight -> Um Rune,"Antidote Potion,M'avina's True Sight",Um Rune,EXISTING
UniqueSet Market,Um Rune -> M'avina's Caster,"Stamina Potion,Um Rune,Grnd Matron Bow,Town Portal Scroll",M'avina's Caster,EXISTING
UniqueSet Market,M'avina's Caster -> Lem Rune,"Antidote Potion,M'avina's Caster",Lem Rune,EXISTING
UniqueSet Market,Um Rune -> Guillaume's Face,"Stamina Potion,Um Rune,Winged Helm,Town Portal Scroll",Guillaume's Face,EXISTING
UniqueSet Market,Guillaume's Face -> Pul Rune,"Antidote Potion,Guillaume's Face",Pul Rune,EXISTING
UniqueSet Market,Um Rune -> Bul-Kathos' Sacred Charge,"Stamina Potion,Um Rune,Colossus Blade,Town Portal Scroll",Bul-Kathos' Sacred Charge,EXISTING
UniqueSet Market,Bul-Kathos' Sacred Charge -> Pul Rune,"Antidote Potion,Bul-Kathos' Sacred Charge",Pul Rune,EXISTING
UniqueSet Market,Um Rune -> Bul-Kathos' Tribal Guardian,"Stamina Potion,Um Rune,Mythical Sword,Town Portal Scroll",Bul-Kathos' Tribal Guardian,EXISTING
UniqueSet Market,Bul-Kathos' Tribal Guardian -> Pul Rune,"Antidote Potion,Bul-Kathos' Tribal Guardian",Pul Rune,EXISTING
UniqueSet Market,Um Rune -> Cow King's Hoofs,"Stamina Potion,Um Rune,Heavy Boots,Town Portal Scroll",Cow King's Hoofs,EXISTING
UniqueSet Market,Cow King's Hoofs -> Lem Rune,"Antidote Potion,Cow King's Hoofs",Lem Rune,EXISTING
UniqueSet Market,Um Rune -> Naj's Puzzler,"Stamina Potion,Um Rune,Elder Staff,Town Portal Scroll",Naj's Puzzler,EXISTING
UniqueSet Market,Naj's Puzzler -> Pul Rune,"Antidote Potion,Naj's Puzzler",Pul Rune,EXISTING
UniqueSet Market,Ist Rune -> Horazon's Countenance,"Stamina Potion,Ist Rune,Demonhead,Town Portal Scroll",Horazon's Countenance,EXISTING
UniqueSet Market,Horazon's Countenance -> Mal Rune,"Antidote Potion,Horazon's Countenance",Mal Rune,EXISTING
UniqueSet Market,Ist Rune -> Horazon's Dominion,"Stamina Potion,Ist Rune,Russet Armor,Town Portal Scroll",Horazon's Dominion,EXISTING
UniqueSet Market,Horazon's Dominion -> Mal Rune,"Antidote Potion,Horazon's Dominion",Mal Rune,EXISTING
UniqueSet Market,Ist Rune -> Horazon's Hold,"Stamina Potion,Ist Rune,Demonhide Glove,Town Portal Scroll",Horazon's Hold,EXISTING
UniqueSet Market,Horazon's Hold -> Mal Rune,"Antidote Potion,Horazon's Hold",Mal Rune,EXISTING
UniqueSet Market,Ist Rune -> Horazon's Legacy,"Stamina Potion,Ist Rune,Mirrored Boots,Town Portal Scroll",Horazon's Legacy,EXISTING
UniqueSet Market,Horazon's Legacy -> Mal Rune,"Antidote Potion,Horazon's Legacy",Mal Rune,EXISTING
UniqueSet Market,Ist Rune -> Horazon's Secrets,"Stamina Potion,Ist Rune,wad,Town Portal Scroll",Horazon's Secrets,EXISTING
UniqueSet Market,Horazon's Secrets -> Mal Rune,"Antidote Potion,Horazon's Secrets",Mal Rune,EXISTING
UniqueSet Market,Um Rune -> Iros Torch,"Stamina Potion,Um Rune,Wand,Identify Scroll",Iros Torch,EXISTING
UniqueSet Market,Iros Torch -> Pul Rune,"Antidote Potion,Iros Torch",Pul Rune,EXISTING
UniqueSet Market,Um Rune -> Gull,"Stamina Potion,Um Rune,Dagger,Identify Scroll",Gull,EXISTING
UniqueSet Market,Gull -> Pul Rune,"Antidote Potion,Gull",Pul Rune,EXISTING
UniqueSet Market,Um Rune -> Greyform,"Stamina Potion,Um Rune,Quilted Armor,Identify Scroll",Greyform,EXISTING
UniqueSet Market,Greyform -> Lem Rune,"Antidote Potion,Greyform",Lem Rune,EXISTING
UniqueSet Market,Um Rune -> The Hand of Broc,"Stamina Potion,Um Rune,Leather Gloves,Identify Scroll",The Hand of Broc,EXISTING
UniqueSet Market,The Hand of Broc -> Lem Rune,"Antidote Potion,The Hand of Broc",Lem Rune,EXISTING
UniqueSet Market,Um Rune -> Bloodfist,"Stamina Potion,Um Rune,Heavy Gloves,Identify Scroll",Bloodfist,EXISTING
UniqueSet Market,Bloodfist -> Lem Rune,"Antidote Potion,Bloodfist",Lem Rune,EXISTING
UniqueSet Market,Mal Rune -> Chance Guards,"Stamina Potion,Mal Rune,Chain Gloves,Identify Scroll",Chance Guards,EXISTING
UniqueSet Market,Chance Guards -> Um Rune,"Antidote Potion,Chance Guards",Um Rune,EXISTING
UniqueSet Market,Mal Rune -> Magefist,"Stamina Potion,Mal Rune,Light Gauntlets,Identify Scroll",Magefist,EXISTING
UniqueSet Market,Magefist -> Um Rune,"Antidote Potion,Magefist",Um Rune,EXISTING
UniqueSet Market,Um Rune -> Hotspur,"Stamina Potion,Um Rune,Boots,Identify Scroll",Hotspur,EXISTING
UniqueSet Market,Hotspur -> Pul Rune,"Antidote Potion,Hotspur",Pul Rune,EXISTING
UniqueSet Market,Ist Rune -> Nagelring,"Stamina Potion,Ist Rune,ring,Identify Scroll",Nagelring,EXISTING
UniqueSet Market,Nagelring -> Um Rune,"Antidote Potion,Nagelring",Um Rune,EXISTING
UniqueSet Market,Lo Rune -> The Stone of Jordan,"Stamina Potion,Lo Rune,ring,Identify Scroll",The Stone of Jordan,EXISTING
UniqueSet Market,The Stone of Jordan -> Ohm Rune,"Antidote Potion,The Stone of Jordan",Ohm Rune,EXISTING
UniqueSet Market,Um Rune -> Blade of Ali Baba,"Stamina Potion,Um Rune,Tulwar,Identify Scroll",Blade of Ali Baba,EXISTING
UniqueSet Market,Blade of Ali Baba -> Pul Rune,"Antidote Potion,Blade of Ali Baba",Pul Rune,EXISTING
UniqueSet Market,Ist Rune -> Stormspike,"Stamina Potion,Ist Rune,Stilleto,Identify Scroll",Stormspike,EXISTING
UniqueSet Market,Stormspike -> Mal Rune,"Antidote Potion,Stormspike",Mal Rune,EXISTING
UniqueSet Market,"Vex Rune -> Hone Sundan,eth","Stamina Potion,Vex Rune,Yari,Identify Scroll","Hone Sundan,eth",EXISTING
UniqueSet Market,"Hone Sundan,eth -> Gul Rune","Antidote Potion,Hone Sundan,eth",Gul Rune,EXISTING
UniqueSet Market,"Mal Rune -> Ribcracker,eth","Stamina Potion,Mal Rune,Quarterstaff,Identify Scroll","Ribcracker,eth",EXISTING
UniqueSet Market,"Ribcracker,eth -> Um Rune","Antidote Potion,Ribcracker,eth",Um Rune,EXISTING
UniqueSet Market,Um Rune -> Ribcracker,"Stamina Potion,Um Rune,Quarterstaff,Identify Scroll",Ribcracker,EXISTING
UniqueSet Market,Ribcracker -> Pul Rune,"Antidote Potion,Ribcracker",Pul Rune,EXISTING
UniqueSet Market,Um Rune -> Warpspear,"Stamina Potion,Um Rune,Gothic Staff,Identify Scroll",Warpspear,EXISTING
UniqueSet Market,Warpspear -> Lem Rune,"Antidote Potion,Warpspear",Lem Rune,EXISTING
UniqueSet Market,Um Rune -> Whichwild String,"Stamina Potion,Um Rune,Short Siege Bow,Identify Scroll",Whichwild String,EXISTING
UniqueSet Market,Whichwild String -> Pul Rune,"Antidote Potion,Whichwild String",Pul Rune,EXISTING
UniqueSet Market,Ist Rune -> Crown of Thieves,"Stamina Potion,Ist Rune,Grand Crown,Identify Scroll",Crown of Thieves,EXISTING
UniqueSet Market,Crown of Thieves -> Mal Rune,"Antidote Potion,Crown of Thieves",Mal Rune,EXISTING
UniqueSet Market,"Ber Rune -> Vampiregaze,eth","Stamina Potion,Ber Rune,Grim Helm,Identify Scroll","Vampiregaze,eth",EXISTING
UniqueSet Market,"Vampiregaze,eth -> Sur Rune","Antidote Potion,Vampiregaze,eth",Sur Rune,EXISTING
UniqueSet Market,Ist Rune -> Vampiregaze,"Stamina Potion,Ist Rune,Grim Helm,Identify Scroll",Vampiregaze,EXISTING
UniqueSet Market,Vampiregaze -> Mal Rune,"Antidote Potion,Vampiregaze",Mal Rune,EXISTING
UniqueSet Market,Ist Rune -> Skin of the Vipermagi,"Stamina Potion,Ist Rune,Serpentskin,Identify Scroll",Skin of the Vipermagi,EXISTING
UniqueSet Market,Skin of the Vipermagi -> Mal Rune,"Antidote Potion,Skin of the Vipermagi",Mal Rune,EXISTING
UniqueSet Market,Um Rune -> Shaftstop,"Stamina Potion,Um Rune,Mesh Armor,Identify Scroll",Shaftstop,EXISTING
UniqueSet Market,Shaftstop -> Pul Rune,"Antidote Potion,Shaftstop",Pul Rune,EXISTING
UniqueSet Market,Um Rune -> Duriel's Shell,"Stamina Potion,Um Rune,Cuirass,Identify Scroll",Duriel's Shell,EXISTING
UniqueSet Market,Duriel's Shell -> Lem Rune,"Antidote Potion,Duriel's Shell",Lem Rune,EXISTING
UniqueSet Market,Um Rune -> Skullder's Ire,"Stamina Potion,Um Rune,Russet Armor,Identify Scroll",Skullder's Ire,EXISTING
UniqueSet Market,Skullder's Ire -> Pul Rune,"Antidote Potion,Skullder's Ire",Pul Rune,EXISTING
UniqueSet Market,Um Rune -> Guardian Angel,"Stamina Potion,Um Rune,Templar Coat,Identify Scroll",Guardian Angel,EXISTING
UniqueSet Market,Guardian Angel -> Lem Rune,"Antidote Potion,Guardian Angel",Lem Rune,EXISTING
UniqueSet Market,Ist Rune -> Mosers Blessed Circle,"Stamina Potion,Ist Rune,Round Shield,Identify Scroll",Mosers Blessed Circle,EXISTING
UniqueSet Market,Mosers Blessed Circle -> Mal Rune,"Antidote Potion,Mosers Blessed Circle",Mal Rune,EXISTING
UniqueSet Market,Um Rune -> Lidless Wall,"Stamina Potion,Um Rune,Grim Shield,Identify Scroll",Lidless Wall,EXISTING
UniqueSet Market,Lidless Wall -> Pul Rune,"Antidote Potion,Lidless Wall",Pul Rune,EXISTING
UniqueSet Market,Um Rune -> Infernostride,"Stamina Potion,Um Rune,Demonhide Boots,Identify Scroll",Infernostride,EXISTING
UniqueSet Market,Infernostride -> Pul Rune,"Antidote Potion,Infernostride",Pul Rune,EXISTING
UniqueSet Market,Ist Rune -> Waterwalk,"Stamina Potion,Ist Rune,Sharkskin Boots,Identify Scroll",Waterwalk,EXISTING
UniqueSet Market,Waterwalk -> Mal Rune,"Antidote Potion,Waterwalk",Mal Rune,EXISTING
UniqueSet Market,Mal Rune -> Silkweave,"Stamina Potion,Mal Rune,Mesh Boots,Identify Scroll",Silkweave,EXISTING
UniqueSet Market,Silkweave -> Um Rune,"Antidote Potion,Silkweave",Um Rune,EXISTING
UniqueSet Market,Vex Rune -> Wartraveler,"Stamina Potion,Vex Rune,Battle Boots,Identify Scroll",Wartraveler,EXISTING
UniqueSet Market,Wartraveler -> Gul Rune,"Antidote Potion,Wartraveler",Gul Rune,EXISTING
UniqueSet Market,Ist Rune -> Gorerider,"Stamina Potion,Ist Rune,War Boots,Identify Scroll",Gorerider,EXISTING
UniqueSet Market,Gorerider -> Mal Rune,"Antidote Potion,Gorerider",Mal Rune,EXISTING
UniqueSet Market,Ist Rune -> String of Ears,"Stamina Potion,Ist Rune,Demonhide Sash,Identify Scroll",String of Ears,EXISTING
UniqueSet Market,String of Ears -> Mal Rune,"Antidote Potion,String of Ears",Mal Rune,EXISTING
UniqueSet Market,Ist Rune -> Thudergod's Vigor,"Stamina Potion,Ist Rune,War Belt,Identify Scroll",Thudergod's Vigor,EXISTING
UniqueSet Market,Thudergod's Vigor -> Mal Rune,"Antidote Potion,Thudergod's Vigor",Mal Rune,EXISTING
UniqueSet Market,Ist Rune -> Harlequin Crest,"Stamina Potion,Ist Rune,Shako,Identify Scroll",Harlequin Crest,EXISTING
UniqueSet Market,Harlequin Crest -> Mal Rune,"Antidote Potion,Harlequin Crest",Mal Rune,EXISTING
UniqueSet Market,Um Rune -> The Gladiator's Bane,"Stamina Potion,Um Rune,Wire Fleece,Identify Scroll",The Gladiator's Bane,EXISTING
UniqueSet Market,The Gladiator's Bane -> Pul Rune,"Antidote Potion,The Gladiator's Bane",Pul Rune,EXISTING
UniqueSet Market,Um Rune -> Arkaine's Valor,"Stamina Potion,Um Rune,Balrog Skin,Identify Scroll",Arkaine's Valor,EXISTING
UniqueSet Market,Arkaine's Valor -> Pul Rune,"Antidote Potion,Arkaine's Valor",Pul Rune,EXISTING
UniqueSet Market,Mal Rune -> Stormshield,"Stamina Potion,Mal Rune,Monarch,Identify Scroll",Stormshield,EXISTING
UniqueSet Market,Stormshield -> Um Rune,"Antidote Potion,Stormshield",Um Rune,EXISTING
UniqueSet Market,Ist Rune -> Schaefer's Hammer,"Stamina Potion,Ist Rune,Legendary Mallt,Mal Rune",Schaefer's Hammer,EXISTING
UniqueSet Market,Schaefer's Hammer -> Ist Rune,"Antidote Potion,Schaefer's Hammer",Ist Rune,EXISTING
UniqueSet Market,Ist Rune -> The Cranium Basher,"Stamina Potion,Ist Rune,Thunder Maul,Identify Scroll",The Cranium Basher,EXISTING
UniqueSet Market,The Cranium Basher -> Mal Rune,"Antidote Potion,The Cranium Basher",Mal Rune,EXISTING
UniqueSet Market,Ist Rune -> The Grandfather,"Stamina Potion,Ist Rune,Colossus Blade,Mal Rune",The Grandfather,EXISTING
UniqueSet Market,The Grandfather -> Ist Rune,"Antidote Potion,The Grandfather",Ist Rune,EXISTING
UniqueSet Market,Um Rune -> Wizardspike,"Stamina Potion,Um Rune,Bone Knife,Identify Scroll",Wizardspike,EXISTING
UniqueSet Market,Wizardspike -> Pul Rune,"Antidote Potion,Wizardspike",Pul Rune,EXISTING
UniqueSet Market,Um Rune -> Eaglehorn,"Stamina Potion,Um Rune,Crusader Bow,Identify Scroll",Eaglehorn,EXISTING
UniqueSet Market,Eaglehorn -> Pul Rune,"Antidote Potion,Eaglehorn",Pul Rune,EXISTING
UniqueSet Market,Ohm Rune -> Windforce,"Stamina Potion,Ohm Rune,Hydra Bow,Identify Scroll",Windforce,EXISTING
UniqueSet Market,Windforce -> Vex Rune,"Antidote Potion,Windforce",Vex Rune,EXISTING
UniqueSet Market,Vex Rune -> Bul Katho's Wedding Band,"Stamina Potion,Vex Rune,ring,Identify Scroll",Bul Katho's Wedding Band,EXISTING
UniqueSet Market,Bul Katho's Wedding Band -> Gul Rune,"Antidote Potion,Bul Katho's Wedding Band",Gul Rune,EXISTING
UniqueSet Market,Vex Rune -> Mara's Kaleidoscope,"Stamina Potion,Vex Rune,amulet,Identify Scroll",Mara's Kaleidoscope,EXISTING
UniqueSet Market,Mara's Kaleidoscope -> Gul Rune,"Antidote Potion,Mara's Kaleidoscope",Gul Rune,EXISTING
UniqueSet Market,Lem Rune -> Atma's Scarab,"Stamina Potion,Lem Rune,amulet,Fal Rune",Atma's Scarab,EXISTING
UniqueSet Market,Atma's Scarab -> Fal Rune,"Antidote Potion,Atma's Scarab",Fal Rune,EXISTING
UniqueSet Market,Mal Rune -> Highlord's Wrath,"Stamina Potion,Mal Rune,amulet,Identify Scroll",Highlord's Wrath,EXISTING
UniqueSet Market,Highlord's Wrath -> Um Rune,"Antidote Potion,Highlord's Wrath",Um Rune,EXISTING
UniqueSet Market,Gul Rune -> Arreat's Face,"Stamina Potion,Gul Rune,Slayer Guard,Identify Scroll",Arreat's Face,EXISTING
UniqueSet Market,Arreat's Face -> Mal Rune,"Antidote Potion,Arreat's Face",Mal Rune,EXISTING
UniqueSet Market,Um Rune -> Homunculus,"Stamina Potion,Um Rune,Heirophant Trphy,Identify Scroll",Homunculus,EXISTING
UniqueSet Market,Homunculus -> Pul Rune,"Antidote Potion,Homunculus",Pul Rune,EXISTING
UniqueSet Market,Mal Rune -> Titan's Revenge,"Stamina Potion,Mal Rune,Antidote Potion,Identify Scroll",Titan's Revenge,EXISTING
UniqueSet Market,Titan's Revenge -> Um Rune,"Antidote Potion,Titan's Revenge",Um Rune,EXISTING
UniqueSet Market,"Jah Rune -> Titan's Revenge,eth","Stamina Potion,Jah Rune,Antidote Potion,Identify Scroll","Titan's Revenge,eth",EXISTING
UniqueSet Market,"Titan's Revenge,eth -> Ber Rune","Antidote Potion,Titan's Revenge,eth",Ber Rune,EXISTING
UniqueSet Market,Um Rune -> Lycander's Aim,"Stamina Potion,Um Rune,Ceremonial Bow,Identify Scroll",Lycander's Aim,EXISTING
UniqueSet Market,Lycander's Aim -> Pul Rune,"Antidote Potion,Lycander's Aim",Pul Rune,EXISTING
UniqueSet Market,Mal Rune -> The Oculus,"Stamina Potion,Mal Rune,Swirling Crystl,Identify Scroll",The Oculus,EXISTING
UniqueSet Market,The Oculus -> Um Rune,"Antidote Potion,The Oculus",Um Rune,EXISTING
UniqueSet Market,Ist Rune -> Herald of Zakarum,"Stamina Potion,Ist Rune,Guilded Shield,Mal Rune",Herald of Zakarum,EXISTING
UniqueSet Market,Herald of Zakarum -> Ist Rune,"Antidote Potion,Herald of Zakarum",Ist Rune,EXISTING
UniqueSet Market,Um Rune -> Cutthroat1,"Stamina Potion,Um Rune,9tw,Identify Scroll",Cutthroat1,EXISTING
UniqueSet Market,Cutthroat1 -> Pul Rune,"Antidote Potion,Cutthroat1",Pul Rune,EXISTING
UniqueSet Market,Mal Rune -> Jalal's Mane,"Stamina Potion,Mal Rune,Totemic Mask,Identify Scroll",Jalal's Mane,EXISTING
UniqueSet Market,Jalal's Mane -> Um Rune,"Antidote Potion,Jalal's Mane",Um Rune,EXISTING
UniqueSet Market,Um Rune -> The Scalper,"Stamina Potion,Um Rune,Francisca,Identify Scroll",The Scalper,EXISTING
UniqueSet Market,The Scalper -> Lem Rune,"Antidote Potion,The Scalper",Lem Rune,EXISTING
UniqueSet Market,Um Rune -> Deathbit,"Stamina Potion,Um Rune,Battle Dart,Identify Scroll",Deathbit,EXISTING
UniqueSet Market,Deathbit -> Lem Rune,"Antidote Potion,Deathbit",Lem Rune,EXISTING
